,schedule_season,schedule_week,schedule_playoff,full_result,spread_favorite,stadium_neutral,weather_temperature,weather_wind_mph,weather_detail,home_favorite,away_favorite
136,2010,10,0,1,-7.0,0,72.0,0.0,Dome,1.0,0.0
137,2010,10,0,1,0.0,0,70.0,5.0,Sunny,0.0,0.0
138,2010,10,0,1,-1.0,0,80.0,9.0,Sunny,1.0,0.0
139,2010,10,0,0,-12.5,0,63.0,8.0,Sunny,1.0,0.0
140,2010,10,0,0,-4.5,0,50.0,8.0,Rain,1.0,0.0
141,2010,10,0,1,-4.5,0,74.0,5.0,Sunny,1.0,0.0
142,2010,10,0,1,-7.0,0,75.0,7.0,Sunny,1.0,0.0
143,2010,10,0,0,-3.5,0,52.0,3.0,Sunny,0.0,1.0
144,2010,11,0,0,-2.0,0,80.0,8.0,Sunny,1.0,0.0
145,2010,11,0,0,-13.5,0,65.0,6.0,Sunny,0.0,1.0
146,2010,11,0,0,-4.0,0,65.0,1.0,Sunny,1.0,0.0
147,2010,11,0,1,-7.0,0,72.0,0.0,Dome,1.0,0.0
148,2010,11,0,1,-2.5,0,76.0,8.0,Sunny,1.0,0.0
149,2010,11,0,1,-7.0,0,66.0,2.0,Sunny,1.0,0.0
150,2010,11,0,0,-3.0,0,72.0,0.0,Dome,0.0,1.0
151,2010,11,0,1,-4.5,0,37.0,6.0,Sunny,1.0,0.0
152,2010,11,0,1,-11.0,0,72.0,0.0,Dome,1.0,0.0
153,2010,11,0,1,-6.5,0,46.0,1.0,Sunny,1.0,0.0
154,2010,11,0,1,-3.5,0,45.0,7.0,Sunny,1.0,0.0
155,2010,11,0,1,-7.0,0,57.0,9.0,Sunny,1.0,0.0
156,2010,11,0,0,-3.5,0,54.0,2.0,Sunny,1.0,0.0
157,2010,11,0,0,-3.5,0,72.0,0.0,Dome,0.0,1.0
158,2010,11,0,0,-7.0,0,66.0,1.0,Sunny,1.0,0.0
159,2010,11,0,1,-9.0,0,57.0,5.0,Sunny,1.0,0.0
160,2010,12,0,0,-4.5,0,72.0,0.0,Dome,0.0,1.0
161,2010,12,0,0,-7.5,0,72.0,0.0,Dome,0.0,1.0
162,2010,12,0,1,-9.5,0,39.0,6.0,Sunny,1.0,0.0
163,2010,12,0,1,-2.0,0,72.0,0.0,Dome,1.0,0.0
164,2010,12,0,1,-7.5,0,52.0,3.0,Sunny,1.0,0.0
165,2010,12,0,0,-7.0,0,36.0,1.0,Sunny,0.0,1.0
166,2010,12,0,1,-3.5,0,45.0,1.0,Sunny,0.0,1.0
167,2010,12,0,1,-7.5,0,37.0,5.0,Sunny,1.0,0.0
168,2010,12,0,0,-3.0,0,45.0,1.0,Sunny,1.0,0.0
169,2010,12,0,1,-5.0,0,62.0,5.0,Sunny,1.0,0.0
170,2010,12,0,0,-2.0,0,72.0,0.0,Dome,1.0,0.0
171,2010,12,0,1,-7.5,0,43.0,6.0,Sunny,1.0,0.0
172,2010,12,0,0,-3.0,0,54.0,1.0,Sunny,1.0,0.0
173,2010,12,0,0,-2.0,0,43.0,1.0,Sunny,0.0,1.0
174,2010,12,0,0,-2.5,0,47.0,5.0,Sunny,0.0,1.0
175,2010,12,0,0,-2.0,0,72.0,0.0,Dome,0.0,1.0
176,2010,13,0,1,-8.0,0,37.0,5.0,Sunny,1.0,0.0
177,2010,13,0,0,-3.5,0,72.0,0.0,Dome,0.0,1.0
178,2010,13,0,0,-3.0,0,35.0,0.0,Sunny,1.0,0.0
179,2010,13,0,0,-7.0,0,32.0,1.0,Sunny,0.0,1.0
180,2010,13,0,0,-5.5,0,72.0,0.0,Dome,0.0,1.0
181,2010,13,0,1,-9.0,0,26.0,1.0,Sunny,1.0,0.0
182,2010,13,0,0,-5.5,0,72.0,0.0,Dome,1.0,0.0
183,2010,13,0,1,-8.0,0,26.0,8.0,Sunny,1.0,0.0
184,2010,13,0,0,-6.0,0,76.0,1.0,Sunny,1.0,0.0
185,2010,13,0,1,-5.0,0,72.0,0.0,Dome,1.0,0.0
186,2010,13,0,1,-7.5,0,34.0,1.0,Sunny,1.0,0.0
187,2010,13,0,0,-13.0,0,67.0,5.0,Sunny,1.0,0.0
188,2010,13,0,1,-5.0,0,48.0,6.0,Sunny,1.0,0.0
189,2010,13,0,0,-3.0,0,72.0,9.0,Sunny,0.0,1.0
190,2010,13,0,0,-3.0,0,35.0,1.0,Sunny,1.0,0.0
191,2010,13,0,1,-4.0,0,28.0,16.0,Sunny,1.0,0.0
192,2010,14,0,0,-4.0,0,41.0,6.0,Sunny,0.0,1.0
193,2010,14,0,1,-4.0,0,72.0,0.0,Dome,0.0,1.0
194,2010,14,0,1,0.0,0,36.0,6.0,Rain,0.0,0.0
195,2010,14,0,0,-7.5,0,47.0,1.0,Sunny,0.0,1.0
196,2010,14,0,0,-3.0,0,27.0,3.0,Snow,0.0,1.0
197,2010,14,0,0,-4.0,0,72.0,0.0,Dome,0.0,1.0
198,2010,14,0,1,-7.0,0,72.0,0.0,Dome,0.0,1.0
199,2010,14,0,1,-3.5,0,54.0,1.0,Rain,1.0,0.0
200,2010,14,0,1,-9.0,0,72.0,0.0,Dome,1.0,0.0
201,2010,14,0,0,-5.5,0,54.0,8.0,Sunny,1.0,0.0
202,2010,14,0,1,-8.0,0,41.0,8.0,Rain,1.0,0.0
203,2010,14,0,1,-10.0,0,86.0,5.0,Sunny,1.0,0.0
204,2010,14,0,1,-5.0,0,55.0,3.0,Sunny,1.0,0.0
205,2010,14,0,0,-1.5,0,43.0,5.0,Sunny,0.0,1.0
206,2010,14,0,0,-3.0,0,72.0,0.0,Dome,0.0,1.0
207,2010,14,0,0,-5.5,1,72.0,0.0,Dome,0.0,1.0
208,2010,15,0,1,-10.5,0,59.0,7.0,Sunny,1.0,0.0
209,2010,15,0,1,-2.5,0,34.0,1.0,Sunny,1.0,0.0
210,2010,15,0,1,-2.5,0,42.0,6.0,Sunny,1.0,0.0
211,2010,15,0,1,0.0,0,28.0,8.0,Sunny,0.0,0.0
212,2010,15,0,1,-9.5,0,51.0,0.0,Sunny,1.0,0.0
