,schedule_playoff,spread_favorite,stadium_neutral,weather_wind_mph,home_favorite,away_favorite,weather_detail_Dome,weather_detail_Rain,weather_detail_Snow,weather_detail_Sunny
1882,0,3.5,0,6.0,1.0,0.0,0,1,0,0
435,0,9.5,0,1.0,1.0,0.0,0,0,0,1
731,0,6.5,0,9.0,1.0,0.0,0,0,1,0
1753,0,5.5,0,0.0,1.0,0.0,1,0,0,0
1179,0,6.5,0,9.0,1.0,0.0,0,0,0,1
2025,0,7.5,0,0.0,1.0,0.0,1,0,0,0
1051,0,3.5,0,5.0,1.0,0.0,0,1,0,0
1922,0,3.0,0,7.0,1.0,0.0,0,0,0,1
1643,0,10.0,0,7.0,1.0,0.0,0,0,0,1
1462,0,8.0,0,7.0,1.0,0.0,0,0,0,1
107,0,3.0,0,0.0,1.0,0.0,1,0,0,0
1340,0,4.5,0,5.0,1.0,0.0,0,0,0,1
1021,0,7.0,0,0.0,0.0,1.0,1,0,0,0
559,0,3.0,0,5.0,1.0,0.0,0,0,0,1
1745,0,2.5,0,2.0,0.0,1.0,0,0,0,1
923,0,8.0,0,12.0,1.0,0.0,0,0,0,1
2038,0,16.5,0,17.0,1.0,0.0,0,0,0,1
1349,0,3.0,0,0.0,0.0,1.0,1,0,0,0
1337,0,1.0,0,7.0,0.0,1.0,0,0,0,1
371,0,4.0,1,0.0,1.0,0.0,1,0,0,0
994,0,4.5,0,0.0,1.0,0.0,1,0,0,0
1309,0,14.0,0,3.0,1.0,0.0,0,0,0,1
253,0,6.0,0,3.0,1.0,0.0,0,0,0,1
416,0,4.5,0,1.0,1.0,0.0,0,0,0,1
1286,0,7.0,0,7.0,1.0,0.0,0,0,0,1
604,0,6.0,0,4.0,1.0,0.0,0,0,0,1
865,0,3.0,0,0.0,0.0,1.0,1,0,0,0
957,0,3.0,0,2.0,1.0,0.0,0,0,0,1
643,0,3.0,0,0.0,1.0,0.0,1,0,0,0
1069,0,3.0,0,0.0,0.0,1.0,1,0,0,0
1913,0,3.0,0,4.0,1.0,0.0,0,0,0,1
1715,0,5.0,0,0.0,1.0,0.0,1,0,0,0
1940,0,3.0,0,8.0,0.0,1.0,0,0,0,1
1928,0,3.0,0,3.0,0.0,1.0,0,0,0,1
84,0,14.0,0,1.0,1.0,0.0,0,0,0,1
231,0,3.0,0,5.0,1.0,0.0,0,0,0,1
48,0,7.0,0,0.0,1.0,0.0,1,0,0,0
1776,0,3.5,0,6.0,1.0,0.0,0,0,0,1
171,0,7.5,0,6.0,1.0,0.0,0,0,0,1
2118,0,17.0,0,14.0,1.0,0.0,0,0,0,1
1098,0,5.0,0,4.0,1.0,0.0,0,0,0,1
1412,0,3.0,0,0.0,0.0,1.0,1,0,0,0
524,1,10.5,0,0.0,1.0,0.0,1,0,0,0
349,0,14.0,0,2.0,1.0,0.0,0,0,0,1
1006,0,2.5,0,13.0,1.0,0.0,0,0,0,1
1422,0,2.5,0,10.0,0.0,1.0,0,0,0,1
783,0,6.5,0,21.0,1.0,0.0,0,0,1,0
734,0,1.5,0,0.0,0.0,1.0,1,0,0,0
1568,0,7.0,0,5.0,1.0,0.0,0,0,0,1
1502,0,3.0,0,0.0,1.0,0.0,1,0,0,0
706,0,2.5,0,11.0,1.0,0.0,0,0,0,1
487,0,3.0,0,9.0,1.0,0.0,0,0,0,1
593,0,1.5,0,8.0,1.0,0.0,0,1,0,0
998,0,3.5,0,9.0,1.0,0.0,0,0,1,0
981,0,6.5,0,5.0,1.0,0.0,0,0,0,1
1216,0,1.0,0,0.0,0.0,1.0,1,0,0,0
583,0,4.0,0,0.0,1.0,0.0,1,0,0,0
